title,snippet,filing_date,grant_date,inventor,assignee,patent_id,pdf
Systems and methods for discerning eye signals and continuous biometric …,"A method for providing substantially continuous biometric identification of a user wearing a headgear (500; 600) comprising a display (505) viewable by the user when the headgear is worn, and a detector (125) oriented towards an eye of the user, comprising: analyzing one or more images (200) from …",2015-05-09,2020-11-04,Nelson George Publicover,Google LLC,patent/EP3140780B1/en,https://patentimages.storage.googleapis.com/c4/87/bb/2770791f536203/EP3140780B1.pdf
Security systems for protecting an asset,"Security systems for protecting assets are described, including password-based security systems that can provide different levels of access responsive to entry of a primary or secondary password. In some versions, user-configurable security rules can provide customized responses to entry of …",2018-04-29,,Jeffrey Dean Lindsay,Jeffrey Dean Lindsay,patent/US20180247483A1/en,https://patentimages.storage.googleapis.com/2e/85/5b/29bd2483e90b6e/US20180247483A1.pdf
Liveness detection,"In general, liveness detection techniques are described for facial recognition. The techniques enable potential detection and mitigation of attempts to authenticate by spoofing. An example method includes determining, by a computing device, a challenge pattern against which to match an …",2013-01-10,2014-10-07,Krishnendu Chaudhury,Google Inc.,patent/US8856541B1/en,https://patentimages.storage.googleapis.com/54/06/40/470cccd1fbf36d/US8856541.pdf
Device and method to detect spoofing of a terminal,"A terminal (100) to calculate a position and detect spoofing, comprising: - a receiver of one or more first signals (101, 102, 103, 611, 612, 613) from one or more first sources, configured to compute one or more first information from said first signals, the first information being one or more of …",2017-12-08,2020-11-11,François-Xavier MARMET,Centre National d'Etudes Spatiales,patent/EP3495848B1/en,https://patentimages.storage.googleapis.com/97/70/87/cbb35ab80fe06b/EP3495848B1.pdf
Texture-biometrics sensor,Methods and systems are provided for performing a biometric function. A purported skin site of an individual is illuminated with illumination light. The purported skin site is in contact with a surface. Light scattered from the purported skin site is received in a plane that includes the surface.,2006-07-19,2009-06-09,Robert K. Rowe,"Lumidigm, Inc.",patent/US7545963B2/en,https://patentimages.storage.googleapis.com/dc/c1/77/84f5356b5ca283/US7545963.pdf
Apparatus for internetworked wireless integrated network sensors (WINS),"The Wireless Integrated Network Sensor Next Generation (WINS NG) nodes provide distributed network and Internet access to sensors, controls, and processors that are deeply embedded in equipment, facilities, and the environment. The WINS NG network is a new monitoring and control capability for …",2017-04-11,2020-08-25,David C. Gelvin,"Behnov GMBH, LLC",patent/US10757000B2/en,https://patentimages.storage.googleapis.com/d9/ce/9f/b609e4201c82bd/US10757000.pdf
Systems and methods for facial liveness detection,A method performed by an electronic device is described. The method includes receiving an image. The image depicts a face. The method also includes detecting at least one facial landmark of the face in the image. The method further includes receiving a depth image of the face and determining at …,2017-12-01,2021-06-29,Xuan Zou,Qualcomm Incorporated,patent/US11048953B2/en,https://patentimages.storage.googleapis.com/e6/20/ec/b60e3e846170c6/US11048953.pdf
On-LCD screen optical fingerprint sensing based on optical imaging with lens- …,"Devices and optical sensor modules are provided for provide on-screen optical sensing of fingerprints by using an under-screen optical sensor module that captures and detects light from a fiber on top of the screen. Various implementations of the under-LCD optical sensor modules are provided, …",2018-07-10,2019-05-28,Yi He,"Shenzhen GOODIX Technology Co., Ltd.",patent/US10303921B1/en,https://patentimages.storage.googleapis.com/f6/a8/f4/d386683698269c/US10303921.pdf
Systems and methods for spoof detection and liveness analysis,"Spoof-detection and liveness analysis uses software-based solutions on user devices, such as cameras, audio output components (e.g. earpieces), and smartphones with audio input components (e.g. microphones). Is performed. One or more audio signals are emitted from the audio output component of the …",2016-05-31,2020-07-07,레자 알 데라크샤니,아이베리파이 인크.,patent/KR102131103B1/en,https://patentimages.storage.googleapis.com/fb/de/35/2371e92f28513a/KR102131103B1.pdf
On board vehicle network security,The present disclosure describes a microprocessor executable network controller operable to at least one of (a) isolate at least one other on board computational component in a vehicular wireless network not affected by a security breach event from a computational component affected by the …,2013-03-14,2015-10-27,Christopher P. Ricci,Autoconnect Holdings Llc,patent/US9173100B2/en,https://patentimages.storage.googleapis.com/2e/43/cb/0f3b008142b523/US9173100.pdf
System and method for location assurance of a mobile device,"A system and method for determining whether an estimated location of a wireless device includes one or more forged location measurements. A first estimated location of the wireless device using a first set of location measurements is determined, and a second estimated location of the wireless …",2011-05-20,2014-05-06,Neil Harper,Maple Acquisition Llc,patent/US8718673B2/en,https://patentimages.storage.googleapis.com/4d/3b/11/1e7e427a7bd29f/US8718673.pdf
Method and system for detecting signal spoofing,"The invention discloses a method and a system for detecting signal spoofing. According to some embodiments, a spoof detection method may include: receiving one or more position signals indicative of a first position of the vehicle at a first time; the method may further comprise: receiving one or …",2018-03-28,2022-11-22,宋秀峰,法拉第未来公司,patent/CN108693543B/en,https://patentimages.storage.googleapis.com/a1/47/4b/b8646127fa361b/CN108693543B.pdf
Facial recognition,"An example method includes capturing, by an image capture device of a computing device, an image of a face of a user. The method further includes detecting, by the computing device, whether a distance between the computing device and an object represented by at least a portion of the image is less …",2013-11-14,2015-10-13,Steven James Ross,Google Inc.,patent/US9158904B1/en,https://patentimages.storage.googleapis.com/3b/0e/2a/0934592763f72c/US9158904.pdf
Vehicle navigation using non-GPS LEO signals and on-board sensors,"A navigation system includes a navigation radio and a sensor onboard a vehicle. The navigation radio receives and processes low earth orbit RF signals to derive range observables for a corresponding LEO satellite. A sensor is operable to generate at least one of vehicle speed data, acceleration …",2014-02-24,2015-09-01,Mark Lockwood Psiaki,"Coherent Navigation, Inc.",patent/US9121940B2/en,https://patentimages.storage.googleapis.com/87/24/e7/0c126b5d838d25/US9121940.pdf
3-dimensional optical topographical sensing of fingerprints using under-screen …,Devices and optical sensor modules are provided for provide on-screen optical sensing of fingerprints by using an under-screen optical sensor module that captures and detects optical transmissive patterns in probe light that transmits through the internal finger tissues associated with the …,2018-09-30,2021-04-20,Yi He,"Shenzhen GOODIX Technology Co., Ltd.",patent/US10984213B2/en,https://patentimages.storage.googleapis.com/93/be/60/24345ef57a796d/US10984213.pdf
Optical sensing of fingerprints or other patterns on or near display screen …,Devices and optical sensor modules are provided for on-screen optical sensing of fingerprints or other patterns by interleaving optical sensors with display pixels across a display panel for using a top surface above the display panel over the entire display surface as an optical sensing surface.,2019-08-06,2023-10-31,Yi He,"Shenzhen GOODIX Technology Co., Ltd.",patent/US11804061B2/en,https://patentimages.storage.googleapis.com/91/4a/82/ba1c1e14e84843/US11804061.pdf
Exit and authentication related to mobile devices,"A computer system for measuring and authenticating a mobile end user's time to leave, comprising: (A) a mobile device, the mobile device being (i) a mobile processor; (Ii) a mobile operating system configured to execute executable instructions; (Iii) memory configured to store classification …",2015-06-03,2018-10-31,ペロルド，アダム,エレメント，インク．,patent/JP6415607B2/en,https://patentimages.storage.googleapis.com/c6/56/80/4a67e42407ddbb/JP6415607B2.pdf
Systems and methods for facial authentication,A method performed by an electronic device is described. The method includes receiving a set of image frames. The set of image frames includes a face. The method also includes determining at least one facial motion of the face based on the set of image frames. The method further includes …,2017-04-19,2019-12-24,Ramin Samadani,Qualcomm Incorporated,patent/US10515199B2/en,https://patentimages.storage.googleapis.com/7d/97/7b/1c8a8fded2ae60/US10515199.pdf
Lens-pinhole array designs in ultra thin under screen optical sensors for on- …,Devices are provided for providing on-screen optical sensing of fingerprints by using an under-screen optical sensor module for improved optical fingerprint sensing including using an optical sensor module to include (1) an optical sensor array of optical detectors to detect light that carries a …,2019-10-07,2021-06-08,Yi He,"Shenzhen GOODIX Technology Co., Ltd.",patent/US11030434B2/en,https://patentimages.storage.googleapis.com/25/bd/70/c30fb1ccac2e5e/US11030434.pdf
White-light spectral biometric sensors,Methods and systems are provided for performing a biometric function. A purported skin site of an individual is illuminated with white light. Light scattered from the purported skin site is received with a color imager on which the received light is incident. Spatially distributed images of the …,2006-07-19,2010-07-06,Robert K. Rowe,"Lumidigm, Inc.",patent/US7751594B2/en,https://patentimages.storage.googleapis.com/8b/a1/28/1929578865e48d/US7751594.pdf
System and method for service oriented cloud based management of internet of …,"A Internet protocol-based unmanned aerial vehicle (UAV) management system and method is disclosed that includes UAVs including a communication chip, a user computer, a cloud-based service for performing a virtual UAV. The method includes storing a plurality of pre-planned missions, controlling …",2020-02-13,2022-10-18,Anis Koubaa,Prince Sultan University,patent/US11473913B2/en,https://patentimages.storage.googleapis.com/b3/c0/c0/115c9459ff280d/US11473913.pdf
Secure vehicle-to-vehicle communication system,"Device, system and method, in a vehicle communication system, of securely storing safety-related messages. Embodiments include both digital signing and digital encryption such that (i) stored message validity is assured; and (ii) only qualified or pre-selected recipients are able to decrypt the …",2012-07-26,2015-03-31,Kim T Rubin,"Zetta Research and Development, ForC Series",patent/US8995662B2/en,https://patentimages.storage.googleapis.com/20/1e/0b/8dff4762a48daf/US8995662.pdf
Multi-layer optical designs of under-screen optical sensor module having spaced …,Devices and optical sensor modules are provided for provide on-screen optical sensing of fingerprints by using an under-LCD or OLED screen optical sensor module that captures and detects returned light.,2018-07-05,2019-06-25,Yi He,"Shenzhen GOODIX Technology Co., Ltd.",patent/US10331939B2/en,https://patentimages.storage.googleapis.com/68/2b/d8/b9c92129a11cf7/US10331939.pdf
Under-LCD screen optical sensor module for on-screen fingerprint sensing,Devices and optical sensor modules are provided for provide on-screen optical sensing of fingerprints by using a under-screen optical sensor module that captures and detects returned light that is emitted by a LCD display screen for displaying images and that is reflected back by the top surface …,2017-09-18,2019-09-10,Yi He,"Shenzhen GOODIX Technology Co., Ltd.",patent/US10410033B2/en,https://patentimages.storage.googleapis.com/7c/a6/f4/88e69702737427/US10410033.pdf
Devices with peripheral task bar display zone and under-LCD screen optical …,"Devices or systems with display designs to include both a main display zone and a peripheral display zone that collectively form a seamless contiguous display area for displaying images, content or information over the two zones as a single display area and further allowing for operating the …",2018-03-06,2020-04-07,Yi He,"Shenzhen GOODIX Technology Co., Ltd.",patent/US10614283B2/en,https://patentimages.storage.googleapis.com/16/b4/9b/1415f29e63626a/US10614283.pdf
Ground and air vehicle electromagnetic signature detection and localization,"Systems and methods can support identifying radio transmissions associated with autonomous or remote-controlled vehicles. Radio frequency signals may be received using one or more sensors, wherein the sensors comprise radio receivers. Radio frequency fingerprints may be identified within one or …",2015-06-02,2018-11-06,Robert John BAXLEY,"Bastille Networks, Inc.",patent/US10122736B2/en,https://patentimages.storage.googleapis.com/02/eb/88/e500ca0f8dcb21/US10122736.pdf
Detection of satellite system anomalies,"Disclosed herein are system, apparatus, article of manufacture, method and/or computer program product embodiments for detection of satellite system anomalies. An embodiment operates by receiving satellite signals from a plurality of sources via at least one satellite system receiver and …",2015-08-03,2019-05-07,Darrow Paine LEIBNER,The Mitre Corporation,patent/US10281583B2/en,https://patentimages.storage.googleapis.com/6a/f8/77/a18bbda63163e0/US10281583.pdf
Advanced localization of radio transmitters in electromagnetic environments,"A system for determining a physical position of a radio transmitter, comprising: - one or more sensor antennas (210); - one or more cameras (160); - one or more RF sensors (120) configured to couple radio frequency signals from the one or more sensor antennas (210) and generate data samples …",2015-10-30,2020-09-02,Robert John Baxley,"Bastille Networks, Inc.",patent/EP3327609B1/en,https://patentimages.storage.googleapis.com/60/3e/ea/63a93ba39453ca/EP3327609B1.pdf
Unmanned aerial vehicle intrusion detection and countermeasures,A signal detector configured to detect a radio signal transmitted between the remote control unit and the remote control; A feature extractor configured to extract signal features from the detected wireless signal; A classifier configured to classify the detected wireless signal based on the …,2016-09-28,2020-01-15,シャティル スティーブン,"デパートメント 13, インコーポレイテッドDepartment 13, Inc.",patent/JP6629978B2/en,https://patentimages.storage.googleapis.com/01/34/a0/afd5ecb28854b2/JP6629978B2.pdf
Device with peripheral taskbar display and LCD underscreen optical sensor …,"A device or system having a display design that includes a main display area and a peripheral display area that together form a seamless continuous display area for displaying images, content or information over both areas as a single display area and that allows the peripheral display area to be …",2018-03-07,2022-02-08,何毅,深圳市汇顶科技股份有限公司,patent/CN109791325B/en,https://patentimages.storage.googleapis.com/fb/eb/56/602aae21c00ef3/CN109791325B.pdf
Electronic device for detecting fingerprint through optical sensing and …,Apparatus and optical sensor modules are provided for on-screen optical sensing of fingerprints with an off-screen optical sensor module including a pinhole-lens assembly disposed beneath an Organic Light Emitting Diode (OLED) display module and other display modules to enhance optical imaging …,2018-08-23,2020-05-05,何毅,深圳市汇顶科技股份有限公司,patent/CN109196524B/en,https://patentimages.storage.googleapis.com/7b/ef/97/a631c541b09c74/CN109196524B.pdf
Optical sensing performance of under-screen optical sensor module for on-screen …,Devices and optical sensor modules are provided for provide on-screen optical sensing of fingerprints by using an under-screen optical sensor module that captures and detects returned light that is emitted by the display screen for displaying images and that is reflected back by the top surface of …,2019-08-22,,Yi He,"Shenzhen GOODIX Technology Co., Ltd.",patent/US20190377858A1/en,https://patentimages.storage.googleapis.com/c7/06/a8/c5a73cb908ea34/US20190377858A1.pdf
Improving optical sensing performance of under-screen optical sensor module for …,Devices and optical sensor modules are provided for provide on-screen optical sensing of fingerprints by using a under-screen optical sensor module that captures and detects returned light that is emitted by the display screen for displaying images and that is reflected back by the top surface of …,2018-01-04,,Yi He,"Shenzhen GOODIX Technology Co., Ltd.",patent/WO2018127101A1/en,https://patentimages.storage.googleapis.com/84/ef/27/1e7b827c4197b1/WO2018127101A1.pdf
"Method, apparatus, and system to map network reachability","The network reachability module maps and dynamically tracks network reachability of network addresses and/or devices. The network reachability module can map and dynamically track network reachability of a response-orchestrator engine, via communicating and cooperating with the response- …",2019-11-08,2022-08-16,Robert Hutchinson,Darktrace Holdings Limited,patent/US11418538B2/en,https://patentimages.storage.googleapis.com/ef/82/45/0386b61d1f50e5/US11418538.pdf
Speaker identification,"A method of speaker identification comprises receiving an audio signal representing speech; performing a first voice biometric process on the audio signal to attempt to identify whether the speech is the speech of an enrolled speaker; and, if the first voice biometric process makes an initial …",2019-01-23,2023-08-22,John Paul Lesso,"Cirrus Logic, Inc.",patent/US11735189B2/en,https://patentimages.storage.googleapis.com/28/ed/da/d153092fe1ebe2/US11735189.pdf
Indicating Website reputations during Website manipulation of user information,An aspect of the present invention relates to methods and systems involving receiving an indicator of an attempted interaction of a client computing facility with an item of content associated with a website and presenting an indicator of reputation to a client computing facility attempting to …,2012-09-15,2013-08-20,Christopher John Dixon,"Mcafee, Inc.",patent/US8516377B2/en,https://patentimages.storage.googleapis.com/a2/2c/49/b05fbc26b0cbfc/US8516377.pdf
"System, method, and computer program product for presenting an indicia of risk …","A system, method, and computer program product comprise presenting a plurality of search results within a graphical user interface. Further, an indicia of risk associated with the search results is presented, in real-time, within the graphical user interface.",2012-03-27,2014-09-02,Christopher John Dixon,"Mcafee, Inc.",patent/US8826154B2/en,https://patentimages.storage.googleapis.com/53/03/8f/d48c345baea427/US8826154.pdf
Under-screen optical sensor module for on-screen fingerprint sensing …,Devices and optical sensor modules are provided for provide on-screen optical sensing of fingerprints by using a under-screen optical sensor module that captures and detects returned light that is emitted by the display screen for displaying images and that is reflected back by the top surface of …,2017-06-07,2019-09-10,Yi He,"Shenzhen GOODIX Technology Co., Ltd.",patent/US10410037B2/en,https://patentimages.storage.googleapis.com/1d/31/ee/433f4b7da94925/US10410037.pdf
System and method for controlling access to an in-vehicle communication network,"A system or method may include an in-vehicle network including an interface port for connecting an external device to the in-vehicle network; and a security unit connected to the in-vehicle network, the security unit adapted to enable an external device to communicate with the in-vehicle network, …",2022-07-21,2023-09-12,Ofer Ben-Noon,Argus Cyber Security Ltd.,patent/US11755713B2/en,https://patentimages.storage.googleapis.com/5e/ea/f7/53591f60911588/US11755713.pdf
System and method for collaborative conversational AI,"A method for collaborative conversational artificial intelligence (CCAI). The invention discloses an architecture wherein members of the disclosed system participate in collaborative conversations with one or more AI and human “subminds” connected via a forum, including conversing in natural …",2021-09-03,2022-08-30,Richard Leeds,Conversation Processing Intelligence Corp.,patent/US11431660B1/en,https://patentimages.storage.googleapis.com/b3/ab/38/63e8f75e834244/US11431660.pdf
